"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CD272",1.06468921394212e-169,0.743630537959196,0.886,0.499,1.61609175784274e-165,"7","CD27",0.387
"TMEM205",2.67759488582626e-169,0.756503983785178,0.753,0.286,4.06432127719569e-165,"7","TMEM205",0.467
"RPN1",7.07609785103167e-167,0.58318096093896,0.938,0.697,1.0740808928081e-162,"7","RPN1",0.241
"SPATS2",6.86610123590687e-165,0.77252037731852,0.799,0.438,1.0422055065983e-160,"7","SPATS2",0.361
"CHID1",4.72764304295827e-164,0.782761481419998,0.714,0.283,7.17608937490636e-160,"7","CHID1",0.431
"HSD17B8",5.99707635820857e-164,0.789439172649762,0.526,0.136,9.10296220412479e-160,"7","HSD17B8",0.39
"DAPP1",1.50071078085179e-162,0.77871491940814,0.742,0.304,2.27792889425493e-158,"7","DAPP1",0.438
"ADAM28",2.0365366160134e-161,0.824163545481588,0.708,0.276,3.09125892944674e-157,"7","ADAM28",0.432
"HDLBP",3.41191858120905e-160,0.609704647203726,0.917,0.558,5.17895121441721e-156,"7","HDLBP",0.359
"DNAJC3",3.96092680060934e-160,0.629900411785961,0.925,0.633,6.01229079064492e-156,"7","DNAJC3",0.292
"ELL2",3.04840667217192e-159,0.729813274135451,0.831,0.364,4.62717648768976e-155,"7","ELL2",0.467
"RPN2",1.16901119475893e-158,0.503358009182744,0.948,0.754,1.77444209252457e-154,"7","RPN2",0.194
"ERLEC1",1.49755975897031e-157,0.700609945322321,0.83,0.421,2.27314595814103e-153,"7","ERLEC1",0.409
"WFS1",3.05983592230392e-157,0.534365501857163,0.318,0.049,4.64452494646511e-153,"7","WFS1",0.269
"RABAC1",6.68110350533501e-157,0.565922052759768,0.938,0.593,1.0141247010748e-152,"7","RABAC1",0.345
"B4GALT3",9.97337897396953e-157,0.74940431115848,0.758,0.327,1.51385919445883e-152,"7","B4GALT3",0.431
"LMAN2",1.749727882313e-156,0.526202753587203,0.937,0.689,2.6559119525629e-152,"7","LMAN2",0.248
"OSBPL3",2.61423217805075e-156,0.674007561795198,0.875,0.503,3.96814302306323e-152,"7","OSBPL3",0.372
"TMED2",3.5135432959983e-156,0.527097806909454,0.955,0.75,5.33320736899582e-152,"7","TMED2",0.205
"CALU",4.16521491399473e-155,0.747579573435244,0.781,0.376,6.3223797179526e-151,"7","CALU",0.405
"DNAJB11",9.23674681642649e-153,0.719575270861178,0.802,0.405,1.40204579926538e-148,"7","DNAJB11",0.397
"THEMIS21",2.53607729413487e-150,0.704433823175351,0.813,0.383,3.84951172476732e-146,"7","THEMIS2",0.43
"TXNDC15",4.59668493904769e-149,0.724593728270038,0.823,0.537,6.97730806898049e-145,"7","TXNDC15",0.286
"TMEM208",6.81456519226031e-149,0.744155093316234,0.722,0.293,1.03438285053319e-144,"7","TMEM208",0.429
"HIST2H2BE",9.81102755211085e-148,0.727156118856772,0.456,0.112,1.48921587213491e-143,"7","HIST2H2BE",0.344
"C11ORF24",6.15451841477114e-147,0.695789870529922,0.588,0.192,9.34194350178112e-143,"7","C11ORF24",0.396
"ITGA61",1.73859315075564e-145,0.69059523594816,0.62,0.208,2.63901054353199e-141,"7","ITGA6",0.412
"IRF4",1.10330032055883e-144,0.743375606163351,0.784,0.388,1.67469955657624e-140,"7","IRF4",0.396
"BIK",2.60403755810287e-144,0.683600166972675,0.385,0.08,3.95266860944435e-140,"7","BIK",0.305
"OSTC",8.42036252997851e-144,0.638256050730992,0.864,0.516,1.27812682842544e-139,"7","OSTC",0.348
"GMPPB",2.71537758487434e-143,0.757018815631752,0.664,0.274,4.12167163608077e-139,"7","GMPPB",0.39
"VOPP1",7.718276595885e-141,0.626895597517411,0.867,0.572,1.17155720448938e-136,"7","VOPP1",0.295
"CXORF21",1.28936764709262e-140,0.797743855681371,0.541,0.174,1.95713115152188e-136,"7","CXORF21",0.367
"STT3A",1.89205959381778e-140,0.687998120912271,0.823,0.526,2.87195725745601e-136,"7","STT3A",0.297
"TCF4",2.59231745928073e-140,0.713766933444841,0.805,0.422,3.93487867144222e-136,"7","TCF4",0.383
"DOK31",6.64623822921128e-138,0.626149659210768,0.468,0.119,1.00883250081198e-133,"7","DOK3",0.349
"COMMD3",5.97909270024215e-137,0.690986835253791,0.784,0.372,9.07566480969756e-133,"7","COMMD3",0.412
"NPC22",6.64741727067992e-137,0.620147196154947,0.877,0.448,1.00901146751651e-132,"7","NPC2",0.429
"HMCES",4.03114747951701e-135,0.740963331600477,0.669,0.276,6.11887875915886e-131,"7","HMCES",0.393
"HLA-DOB",4.04778898210702e-134,0.64148261939271,0.318,0.057,6.14413889594024e-130,"7","HLA-DOB",0.261
"MIR155HG",6.70694315668325e-134,0.758863986703605,0.597,0.215,1.01804690175295e-129,"7","MIR155HG",0.382
"GPR1601",1.26400853089757e-133,0.65694024428926,0.446,0.115,1.91863854904942e-129,"7","GPR160",0.331
"SEC62",1.53774494837292e-133,0.527198466278892,0.92,0.646,2.33414305713526e-129,"7","SEC62",0.274
"HSH2D",3.05530397015609e-133,0.66318702190436,0.812,0.458,4.63764589629993e-129,"7","HSH2D",0.354
"ARSA",6.19592709889793e-132,0.643634399215052,0.787,0.394,9.40479774341717e-128,"7","ARSA",0.393
"ZBP1",6.92240416979916e-132,0.711442137576368,0.766,0.399,1.05075172893382e-127,"7","ZBP1",0.367
"NR4A1",2.38374492312837e-131,0.595189375338779,0.909,0.594,3.61828641881655e-127,"7","NR4A1",0.315
"FCGR2B1",5.5407050011354e-131,0.726037909000103,0.531,0.172,8.41023612122342e-127,"7","FCGR2B",0.359
"ERGIC3",5.0786492569664e-130,0.54379840850237,0.901,0.69,7.70888170714929e-126,"7","ERGIC3",0.211
"NME1",1.01823298248602e-129,0.693901363164182,0.705,0.327,1.54557584411553e-125,"7","NME1",0.378
"GSTM2",1.08564814185335e-128,0.755352904638867,0.695,0.335,1.6479053145192e-124,"7","GSTM2",0.36
"EHMT1",6.71682327472306e-128,0.544456653173644,0.906,0.761,1.01954660487021e-123,"7","EHMT1",0.145
"SEC14L1",1.20818184945972e-125,0.646142564687417,0.808,0.456,1.8338992292949e-121,"7","SEC14L1",0.352
"TSPAN13",1.92341358120369e-124,0.578109518142282,0.432,0.112,2.91954947490908e-120,"7","TSPAN13",0.32
"RHBDD1",1.98016643546065e-123,0.687795969137471,0.571,0.202,3.00569463238571e-119,"7","RHBDD1",0.369
"SRPRA",2.58223039472398e-123,0.547241438068649,0.891,0.614,3.91956751615153e-119,"7","SRPRA",0.277
"EDEM1",4.05990798485151e-122,0.623482530560186,0.76,0.392,6.16253433020611e-118,"7","EDEM1",0.368
"HIST1H1C",6.12300185797158e-122,0.715078540448996,0.638,0.275,9.29410452021506e-118,"7","HIST1H1C",0.363
"LRRC59",1.17810432877627e-121,0.571047452358654,0.619,0.229,1.7882445606495e-117,"7","LRRC59",0.39
"WARS1",1.81591233757875e-121,0.587475528237459,0.872,0.512,2.75637333721079e-117,"7","WARS",0.36
"C11ORF80",3.25937476368286e-121,0.635020109126764,0.466,0.137,4.94740495379422e-117,"7","C11ORF80",0.329
"COMMD3-BMI1",1.9008257386837e-120,0.644350843285547,0.693,0.297,2.88526338874799e-116,"7","COMMD3-BMI1",0.396
"TSPAN31",8.43794559597485e-118,0.701798582136266,0.727,0.391,1.28079576201302e-113,"7","TSPAN3",0.336
"TMED9",2.15188371932947e-117,0.633258596429814,0.784,0.457,3.26634429757021e-113,"7","TMED9",0.327
"FBXW7",4.09061798105651e-116,0.647968261626965,0.709,0.34,6.20914903344568e-112,"7","FBXW7",0.369
"FAM3C",5.46263397636762e-115,0.655440832672893,0.607,0.24,8.29173211272841e-111,"7","FAM3C",0.367
"DNAJC1",1.78032203153046e-114,0.57376430596851,0.808,0.428,2.70235081166009e-110,"7","DNAJC1",0.38
"ARF4",2.92606613012992e-114,0.502673197193063,0.906,0.652,4.44147577892421e-110,"7","ARF4",0.254
"CD79B1",4.03617834913471e-114,0.659338475443277,0.62,0.237,6.12651511615158e-110,"7","CD79B",0.383
"ZNF275",7.48284903770517e-114,0.504846143175006,0.406,0.109,1.13582165543327e-109,"7","ZNF275",0.297
"MBNL2",2.15931923655892e-113,0.597098950147494,0.74,0.367,3.27763066917278e-109,"7","MBNL2",0.373
"AKR1A1",1.18561597190983e-110,0.594403163906937,0.807,0.489,1.79964648376192e-106,"7","AKR1A1",0.318
"ARMCX3",1.83098145742711e-110,0.661321134449422,0.674,0.312,2.77924675422861e-106,"7","ARMCX3",0.362
"RNU12",1.4198397803436e-109,0.647650994070244,0.325,0.072,2.15517480258356e-105,"7","RNU12",0.253
"PDIA5",3.3230887862606e-109,0.627107411735286,0.386,0.108,5.04411646866497e-105,"7","PDIA5",0.278
"LAMP2",5.34060070883735e-109,0.575046081084074,0.839,0.592,8.10649781594422e-105,"7","LAMP2",0.247
"UFM1",7.78434832765955e-109,0.543327801117534,0.881,0.581,1.18158623265544e-104,"7","UFM1",0.3
"CECR11",6.94229931596042e-107,0.5453153458332,0.838,0.548,1.05377161316963e-102,"7","CECR1",0.29
"GALNT2",1.11175000875648e-106,0.578025494702421,0.682,0.321,1.68752533829147e-102,"7","GALNT2",0.361
"IFNAR2",1.42212980045989e-104,0.603739118750819,0.789,0.532,2.15865082411807e-100,"7","IFNAR2",0.257
"SEC24D",3.20388361938436e-102,0.640175065591198,0.726,0.441,4.86317494586352e-98,"7","SEC24D",0.285
"ZNF215",8.44077201604714e-102,0.669528842747771,0.497,0.202,1.2812247843158e-97,"7","ZNF215",0.295
"RASGRP3",1.12465421977118e-101,0.653497756072499,0.721,0.465,1.70711264019068e-97,"7","RASGRP3",0.256
"ANKRD37",1.13529247071325e-101,0.663994281842568,0.648,0.294,1.72326044129564e-97,"7","ANKRD37",0.354
"EDEM2",1.07218919017741e-100,0.652630501950982,0.631,0.298,1.62747597177029e-96,"7","EDEM2",0.333
"SLC35F21",2.14958529503455e-100,0.596352061281643,0.575,0.237,3.26285551933294e-96,"7","SLC35F2",0.338
"MCEE",3.2610536551925e-100,0.645304680122725,0.451,0.151,4.94995334321669e-96,"7","MCEE",0.3
"ICAM2",2.93693920957825e-99,0.548846494781596,0.812,0.535,4.45798002621882e-95,"7","ICAM2",0.277
"DANCR",1.88363091872462e-98,0.649065426648808,0.628,0.287,2.85916337153211e-94,"7","DANCR",0.341
"ATRAID",5.43507781438315e-98,0.519542550610347,0.846,0.544,8.24990461445218e-94,"7","ATRAID",0.302
"GLA1",1.36559444792333e-97,0.696398657483967,0.677,0.348,2.07283581250283e-93,"7","GLA",0.329
"CISD2",2.06727654401508e-97,0.560853090050801,0.758,0.42,3.1379190661605e-93,"7","CISD2",0.338
"FAM49A1",1.63386407897617e-96,0.614317118697497,0.539,0.208,2.48004228547793e-92,"7","FAM49A",0.331
"MARS",5.64658942601773e-96,0.527193349900728,0.81,0.542,8.57095808975231e-92,"7","MARS",0.268
"HSPA1B1",5.58175494403805e-95,0.548757113686632,0.89,0.732,8.47254582955535e-91,"7","HSPA1B",0.158
"SLC44A1",6.30744505988984e-94,0.620468493823829,0.68,0.402,9.57407085640679e-90,"7","SLC44A1",0.278
"TMEM214",7.28190133918905e-94,0.577465950043862,0.497,0.184,1.10531980427551e-89,"7","TMEM214",0.313
"TMEM39A",3.77333071054637e-93,0.634049489301725,0.615,0.292,5.72753868553834e-89,"7","TMEM39A",0.323
"TMEM147",9.26349241307773e-93,0.583689109588772,0.727,0.403,1.40610551338107e-88,"7","TMEM147",0.324
"NCF1C1",2.04608557085499e-92,0.512017995345422,0.552,0.212,3.10575328800079e-88,"7","NCF1C",0.34
"GORASP2",2.48641760763028e-92,0.58533992763697,0.758,0.465,3.77413328662199e-88,"7","GORASP2",0.293
"PSAT1",7.36634141000773e-92,0.544201133501827,0.326,0.085,1.11813696262507e-87,"7","PSAT1",0.241
"FAM69A",7.65228738096061e-92,0.568655200005564,0.558,0.23,1.16154070155601e-87,"7","FAM69A",0.328
"ERGIC2",8.8242095519838e-92,0.598430453468647,0.778,0.519,1.33942676789562e-87,"7","ERGIC2",0.259
"USP48",1.00002361009135e-91,0.56025132634264,0.787,0.501,1.51793583775766e-87,"7","USP48",0.286
"IFNAR1",1.55647976515802e-91,0.606647709068363,0.739,0.453,2.36258063553336e-87,"7","IFNAR1",0.286
"SRP54",3.99505364299042e-91,0.533522079569664,0.805,0.519,6.06409192469517e-87,"7","SRP54",0.286
"METTL7A",4.42391123117525e-91,0.627963413105041,0.644,0.363,6.71505485780091e-87,"7","METTL7A",0.281
"SLC1A4",7.31683836808654e-91,0.598876318288053,0.61,0.315,1.11062289589186e-86,"7","SLC1A4",0.295
"CASP10",9.29874966660603e-91,0.598522407707846,0.716,0.458,1.41145721189413e-86,"7","CASP10",0.258
"LIME11",1.79500540418474e-88,0.525729289199236,0.82,0.445,2.72463870301202e-84,"7","LIME1",0.375
"GNL3",2.60228301064622e-88,0.547515768475835,0.784,0.498,3.9500053818599e-84,"7","GNL3",0.286
"NANS",2.92400575434809e-88,0.575531633398175,0.75,0.498,4.43834833452497e-84,"7","NANS",0.252
"DAP",1.73172627594833e-87,0.587227994334139,0.669,0.349,2.62858731426197e-83,"7","DAP",0.32
"ARFGAP3",1.61612344107862e-86,0.523618287165474,0.763,0.453,2.45311377121324e-82,"7","ARFGAP3",0.31
"SLC25A4",1.63252658230268e-86,0.618833211310547,0.518,0.218,2.47801209927723e-82,"7","SLC25A4",0.3
"TM9SF1",1.8483960004266e-85,0.623128932201608,0.609,0.321,2.80568028904753e-81,"7","TM9SF1",0.288
"ODF3B1",5.35995435275653e-85,0.527520429578269,0.586,0.257,8.13587471204914e-81,"7","ODF3B",0.329
"SEC24A",1.31535201400161e-84,0.531202131375613,0.5,0.202,1.99657282205305e-80,"7","SEC24A",0.298
"SRM",4.28372561304722e-84,0.581377411699502,0.518,0.215,6.50226710804437e-80,"7","SRM",0.303
"PCMTD1",4.5806735813266e-84,0.548166590538695,0.75,0.471,6.95300442909564e-80,"7","PCMTD1",0.279
"LARP1B",6.63385854181694e-84,0.502750859163161,0.417,0.141,1.00695338806239e-79,"7","LARP1B",0.276
"KLHL6",9.5128766257864e-84,0.540527362855292,0.709,0.454,1.44395954302812e-79,"7","KLHL6",0.255
"NCLN",1.76455159409379e-83,0.558284271289702,0.567,0.257,2.67841286467497e-79,"7","NCLN",0.31
"PSENEN",1.72651733063991e-82,0.509029645328549,0.731,0.407,2.62068065617833e-78,"7","PSENEN",0.324
"HYI",3.47743097733836e-81,0.51958001501346,0.331,0.094,5.27839248050189e-77,"7","HYI",0.237
"SMPDL3B",8.22887396752943e-81,0.521745781068434,0.263,0.065,1.24906077953129e-76,"7","SMPDL3B",0.198
"EDEM3",1.08935121413034e-80,0.516840269561669,0.63,0.315,1.65352620792845e-76,"7","EDEM3",0.315
"ARL1",8.57200179810808e-80,0.610435199438591,0.614,0.333,1.30114415293483e-75,"7","ARL1",0.281
"TOR3A",1.07768723148078e-79,0.558573716869713,0.68,0.421,1.63582144866467e-75,"7","TOR3A",0.259
"BCKDK",2.44728197096831e-79,0.59018640234223,0.536,0.24,3.71472930373279e-75,"7","BCKDK",0.296
"SEC13",2.56917982847552e-79,0.522225193609045,0.74,0.459,3.89975806164299e-75,"7","SEC13",0.281
"DERL1",9.20995652935319e-78,0.518041181004637,0.771,0.546,1.39797930159052e-73,"7","DERL1",0.225
"SMARCB1",1.21106363897237e-77,0.507105118084985,0.709,0.392,1.83827349759615e-73,"7","SMARCB1",0.317
"FAM214A",4.38201359317652e-77,0.580275787159287,0.672,0.382,6.65145843308264e-73,"7","FAM214A",0.29
"SEC63",4.86570871762521e-77,0.551125632442192,0.739,0.511,7.3856592624833e-73,"7","SEC63",0.228
"YIPF2",9.09546216588543e-77,0.560738407725789,0.42,0.157,1.38060020215975e-72,"7","YIPF2",0.263
"BCL2L11",1.47907237499942e-76,0.603247755802846,0.648,0.378,2.24508395801163e-72,"7","BCL2L11",0.27
"CKAP4",1.53014064388096e-76,0.525486335958502,0.511,0.239,2.3226004833469e-72,"7","CKAP4",0.272
"USO1",2.23066768468297e-76,0.518742060450213,0.695,0.404,3.38593047858028e-72,"7","USO1",0.291
"TPST2",2.3123885525388e-76,0.526717823697835,0.787,0.592,3.50997458389864e-72,"7","TPST2",0.195
"CCDC50",5.99643943996658e-76,0.52552174948541,0.646,0.351,9.10199542592527e-72,"7","CCDC50",0.295
"ZNF165",6.1980789912952e-76,0.52693737156537,0.334,0.103,9.40806410088698e-72,"7","ZNF165",0.231
"HIPK2",7.42406650085635e-76,0.505906973316948,0.631,0.353,1.12689905416498e-71,"7","HIPK2",0.278
"ERN1",9.11253638351987e-76,0.504152732090369,0.776,0.529,1.38319189765448e-71,"7","ERN1",0.247
"DUSP22",1.18697225825814e-75,0.591474363784334,0.584,0.296,1.80170519081003e-71,"7","DUSP22",0.288
"DERL2",1.61758489389153e-75,0.557391975490987,0.705,0.424,2.45533211043795e-71,"7","DERL2",0.281
"SSPN",7.28103135535275e-75,0.507882403408557,0.255,0.064,1.10518774942899e-70,"7","SSPN",0.191
"SLC1A5",8.57773111537882e-75,0.523810668544438,0.706,0.438,1.30201380600335e-70,"7","SLC1A5",0.268
"E2F5",1.36649609553149e-73,0.714035291156254,0.438,0.196,2.07420442340724e-69,"7","E2F5",0.242
"NCF4",1.66880364203634e-73,0.515406255297467,0.628,0.316,2.53307704824696e-69,"7","NCF4",0.312
"STARD5",3.32676015965165e-73,0.562019782615581,0.386,0.139,5.04968924633524e-69,"7","STARD5",0.247
"RUBCN",1.16970442372829e-72,0.50003179668442,0.742,0.486,1.77549434477717e-68,"7","RUBCN",0.256
"HDAC9",1.18647948443296e-72,0.623246103572785,0.545,0.276,1.8009572094208e-68,"7","HDAC9",0.269
"WIPI1",1.60126160909096e-72,0.550479690851061,0.607,0.338,2.43055499643917e-68,"7","WIPI1",0.269
"HYOU1",7.61981993988044e-72,0.502883972041217,0.623,0.353,1.15661246867445e-67,"7","HYOU1",0.27
"TPSAB1",4.40653232244632e-71,0.533882010845642,0.399,0.14,6.68867541224127e-67,"7","TPSAB1",0.259
"SLC35B1",5.54633793447543e-71,0.570705232716583,0.682,0.468,8.41878635074026e-67,"7","SLC35B1",0.214
"CEP128",1.5085846583398e-69,0.586180582845745,0.429,0.173,2.28988065289399e-65,"7","CEP128",0.256
"NCF11",1.89858374659159e-69,0.500404201672981,0.622,0.336,2.88186026895137e-65,"7","NCF1",0.286
"MGAT2",3.62648679847678e-69,0.546409661634168,0.576,0.294,5.5046443114079e-65,"7","MGAT2",0.282
"GMPPA",1.86482442611058e-68,0.561758089718593,0.506,0.235,2.83061699639324e-64,"7","GMPPA",0.271
"INSIG2",3.25619572434641e-68,0.567404322519338,0.518,0.244,4.94257948998541e-64,"7","INSIG2",0.274
"PREB",4.11086113097796e-66,0.52524220130464,0.571,0.289,6.23987611071145e-62,"7","PREB",0.282
"ODC1",1.12702215081845e-65,0.509551547627422,0.701,0.453,1.71070692272733e-61,"7","ODC1",0.248
"SHMT2",2.09408367045604e-65,0.54359773415148,0.547,0.277,3.17860960338522e-61,"7","SHMT2",0.27
"SEC23B",2.81926682190187e-64,0.512367407856827,0.67,0.417,4.27936510896485e-60,"7","SEC23B",0.253
"ALG2",9.62538437246405e-64,0.525449124818402,0.492,0.23,1.46103709389632e-59,"7","ALG2",0.262
"CLECL1",3.36126502493332e-63,0.501963950301025,0.325,0.107,5.10206418134628e-59,"7","CLECL1",0.218
"SLC41A2",2.64492146387005e-62,0.520610816015704,0.375,0.149,4.01472629000835e-58,"7","SLC41A2",0.226
"AIG1",4.46794923223299e-62,0.586976161797698,0.524,0.287,6.78190013960646e-58,"7","AIG1",0.237
"NAXE",1.5535821197299e-61,0.519069257374127,0.557,0.292,2.35818229953801e-57,"7","NAXE",0.265
"SPINT21",4.79455909900961e-61,0.504932559625236,0.685,0.468,7.27766125638669e-57,"7","SPINT2",0.217
"TMEM19",6.85321893419661e-60,0.663287499416731,0.573,0.368,1.0402501020217e-55,"7","TMEM19",0.205
"YIF1A",8.24867031591685e-60,0.514584724622343,0.567,0.301,1.25206566725302e-55,"7","YIF1A",0.266
"C1GALT1C1",4.65979520304433e-59,0.559803445558735,0.443,0.202,7.07310313870099e-55,"7","C1GALT1C1",0.241
"SCPEP11",5.64666891129323e-58,0.523981246374866,0.576,0.335,8.571078740452e-54,"7","SCPEP1",0.241
"CTSH2",6.83138952789355e-56,0.504081391646289,0.578,0.319,1.03693661643896e-51,"7","CTSH",0.259
"FAM174A",2.78268446112854e-55,0.509165418556086,0.317,0.114,4.22383674354701e-51,"7","FAM174A",0.203
"PGM3",1.00619846437558e-54,0.570352778204006,0.562,0.356,1.5273086490757e-50,"7","PGM3",0.206
"UBA5",1.02139344261717e-48,0.504441501769284,0.508,0.285,1.5503731065486e-44,"7","UBA5",0.223
"FCRL2",6.53985377426359e-48,0.521835442726575,0.464,0.267,9.9268440439547e-44,"7","FCRL2",0.197
"FKBP14",5.43058779593452e-47,0.636771011473562,0.471,0.289,8.24308921544901e-43,"7","FKBP14",0.182
"AQP31",9.28124159500539e-47,0.516657986900627,0.49,0.268,1.40879966170587e-42,"7","AQP3",0.222
"CERCAM",2.68454622634716e-44,0.504474716860774,0.357,0.171,4.07487271697235e-40,"7","CERCAM",0.186
"MAGED1",8.29617340209027e-44,0.513091182563337,0.607,0.468,1.25927616070328e-39,"7","MAGED1",0.139
"TIFA",6.86457747020526e-42,0.500386013118069,0.471,0.264,1.04197421420246e-37,"7","TIFA",0.207
"CADM1",6.14017401533239e-19,0.526302495723722,0.424,0.334,9.32017013787304e-15,"7","CADM1",0.09
"CFL2",8.57723518218129e-18,0.517607033545724,0.412,0.333,1.3019385283033e-13,"7","CFL2",0.079
"MS4A1",0,1.63535324805042,0.938,0.141,0,"8","MS4A1",0.797
"BANK1",0,1.54569403417277,0.933,0.083,0,"8","BANK1",0.85
"CD79A1",0,1.40555730710072,0.933,0.189,0,"8","CD79A",0.744
"VPREB3",0,1.31743277378801,0.645,0.02,0,"8","VPREB3",0.625
"NAPSB2",0,1.24231227635204,0.739,0.098,0,"8","NAPSB",0.641
"CD19",0,1.22415866289314,0.686,0.063,0,"8","CD19",0.623
"BLK",0,1.13868793150121,0.692,0.079,0,"8","BLK",0.613
"HLA-DOB1",0,1.06563649228906,0.592,0.055,0,"8","HLA-DOB",0.537
"MEF2C2",3.08539645982305e-245,1.12987158156171,0.891,0.206,4.68332328636541e-241,"8","MEF2C",0.685
"STAP11",1.32334295533612e-242,1.040088994898,0.674,0.102,2.0087022719047e-238,"8","STAP1",0.572
"TNFRSF13C",1.83027378993856e-233,1.17978762513943,0.906,0.288,2.77817258574773e-229,"8","TNFRSF13C",0.618
"LINC00926",6.81657510903095e-231,1.12757352448068,0.648,0.108,1.03468793579981e-226,"8","LINC00926",0.54
"FCRLA",8.96958135688515e-222,1.04796339399388,0.625,0.1,1.3614927541616e-217,"8","FCRLA",0.525
"BCL11A",6.53862927088443e-220,1.25966072947672,0.859,0.248,9.92498537027547e-216,"8","BCL11A",0.611
"IRF81",4.42999638431944e-218,1.08951421405577,0.903,0.258,6.72429151175848e-214,"8","IRF8",0.645
"BLNK1",1.52708576182964e-209,0.999506530758529,0.642,0.106,2.31796347788121e-205,"8","BLNK",0.536
"FCER2",4.93440485104668e-208,0.84472656028371,0.331,0.025,7.48993312340376e-204,"8","FCER2",0.306
"HLA-DQB21",1.53117171671752e-196,0.915300114424186,0.833,0.219,2.32416554880553e-192,"8","HLA-DQB2",0.614
"FCRL1",4.48125523578588e-188,1.12305223678713,0.801,0.237,6.80209732239939e-184,"8","FCRL1",0.564
"ADAM281",1.88616517606535e-185,1.13081229163728,0.862,0.282,2.8630101207496e-181,"8","ADAM28",0.58
"ARHGAP24",1.80799458130991e-181,0.895675030976377,0.411,0.047,2.74435497497031e-177,"8","ARHGAP24",0.364
"RALGPS21",1.90034452722933e-181,1.0017121345648,0.713,0.164,2.8845329578814e-177,"8","RALGPS2",0.549
"WDFY4",3.08216153824423e-181,0.722841952231322,0.481,0.065,4.67841299890092e-177,"8","WDFY4",0.416
"HLA-DQA21",8.35865480231595e-179,0.890904915359717,0.777,0.191,1.26876021244354e-174,"8","HLA-DQA2",0.586
"CD22",6.12164291058778e-172,1.11198437803861,0.804,0.264,9.29204177398119e-168,"8","CD22",0.54
"HLA-DQB11",7.56082229871732e-161,0.84852657164853,0.982,0.539,1.1476572167223e-156,"8","HLA-DQB1",0.443
"HLA-DRA2",3.74520912383181e-160,0.763993740103853,1,0.75,5.68485292906431e-156,"8","HLA-DRA",0.25
"LY862",1.37411611875403e-156,0.961817273205175,0.519,0.091,2.08577085665675e-152,"8","LY86",0.428
"HLA-DMB2",2.95818615198275e-156,0.960280919690668,0.886,0.332,4.49023076009462e-152,"8","HLA-DMB",0.554
"HLA-DQA11",4.33939533356989e-152,0.842536607377185,0.977,0.584,6.58676817682573e-148,"8","HLA-DQA1",0.393
"CD79B2",4.09379900608493e-150,1.01233011844551,0.762,0.243,6.21397751133632e-146,"8","CD79B",0.519
"PAX5",1.08754453418947e-149,0.898079330638818,0.622,0.153,1.6507838484462e-145,"8","PAX5",0.469
"EBF1",2.53959334621498e-149,0.901756534810394,0.654,0.166,3.85484874021972e-145,"8","EBF1",0.488
"GNG71",2.00844163099374e-147,0.752019173144025,0.66,0.159,3.0486135516854e-143,"8","GNG7",0.501
"NCF1C2",2.23422346871504e-143,0.800366080991204,0.754,0.215,3.39132780316256e-139,"8","NCF1C",0.539
"HVCN1",5.02391934480503e-134,0.913221554564093,0.716,0.22,7.62580717347956e-130,"8","HVCN1",0.496
"NCF1B1",1.28572216271764e-132,0.827755176338506,0.683,0.19,1.95159767078911e-128,"8","NCF1B",0.493
"AFF3",8.22142773096833e-131,0.917252463688522,0.798,0.314,1.24793051528368e-126,"8","AFF3",0.484
"SWAP70",3.2602354053654e-128,0.891261352336632,0.768,0.284,4.94871132180414e-124,"8","SWAP70",0.484
"CXCR5",1.62551640574307e-125,0.848345434179764,0.692,0.215,2.46737135227741e-121,"8","CXCR5",0.477
"SPIB",2.03106082933893e-125,1.01575032929036,0.748,0.302,3.08294723285356e-121,"8","SPIB",0.446
"TCL1A",1.51712853085602e-123,1.00369538866033,0.457,0.09,2.30284939698635e-119,"8","TCL1A",0.367
"HLA-DRB11",1.19638175653154e-121,0.537238287284398,1,0.768,1.81598786823922e-117,"8","HLA-DRB1",0.232
"FGD22",1.60956628191275e-121,0.824364990575874,0.85,0.359,2.44316065931536e-117,"8","FGD2",0.491
"HLA-DRB62",1.14745185932158e-120,0.642067156017489,0.868,0.352,1.74171717726423e-116,"8","HLA-DRB6",0.516
"HLA-DMA1",5.53102000749838e-120,0.746745353782499,0.93,0.506,8.39553526938179e-116,"8","HLA-DMA",0.424
"MARCH12",8.13880717902019e-120,0.886426766762155,0.721,0.247,1.23538954170347e-115,"8","MARCH1",0.474
"HLA-DRB51",7.92510017307601e-118,0.587799373050476,0.991,0.643,1.20295095527121e-113,"8","HLA-DRB5",0.348
"PLD41",2.70468715187129e-117,0.709722598825088,0.352,0.053,4.10544462782542e-113,"8","PLD4",0.299
"HLA-DPA1",1.30298968124276e-115,0.511753019421348,0.994,0.821,1.97780803715838e-111,"8","HLA-DPA1",0.173
"TCF41",1.18160125498283e-114,0.833516451076418,0.88,0.43,1.79355254493844e-110,"8","TCF4",0.45
"CD401",4.65288111604366e-113,0.819163214874208,0.595,0.162,7.06260824604267e-109,"8","CD40",0.433
"COBLL11",3.18535237003878e-108,0.846113100400644,0.622,0.188,4.83504636248186e-104,"8","COBLL1",0.434
"PNOC1",5.19319332966e-108,0.637160711624548,0.302,0.041,7.88274815509091e-104,"8","PNOC",0.261
