"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"OLMALINC",2.81272967222442e-71,0.557823982360419,0.489,0.259,4.26944236946944e-67,"3","OLMALINC",0.23
"MLPH",3.7965594699784e-71,0.726879695844565,0.492,0.285,5.76279761948021e-67,"3","MLPH",0.207
"HSPG2",1.30014689830294e-70,0.535528292805105,0.339,0.134,1.97349297693404e-66,"3","HSPG2",0.205
"ATP10B",3.29865991574237e-70,0.641784015041222,0.483,0.271,5.00703588610534e-66,"3","ATP10B",0.212
"PAPSS2",6.00268592178791e-70,0.569357870041107,0.3,0.106,9.11147696068187e-66,"3","PAPSS2",0.194
"FBLIM1",6.17697317378441e-70,0.668904471473328,0.447,0.242,9.37602758048735e-66,"3","FBLIM1",0.205
"MECOM",1.80109578133861e-69,0.630858955122545,0.503,0.292,2.73388328649387e-65,"3","MECOM",0.211
"IFITM3",6.14693135557654e-68,0.646494140261517,0.614,0.421,9.33042710462962e-64,"3","IFITM3",0.193
"RNF43",7.69968966577797e-67,0.554634602226463,0.351,0.152,1.16873589436844e-62,"3","RNF43",0.199
"ETS2",8.06298054226989e-67,0.555039988506641,0.483,0.245,1.22387981651115e-62,"3","ETS2",0.238
"LINC00273",1.371096811868e-66,0.654363938528075,0.675,0.61,2.08118785073443e-62,"3","LINC00273",0.0650000000000001
"PRELID2",2.2360224313738e-65,0.543175609063533,0.292,0.109,3.39405844858229e-61,"3","PRELID2",0.183
"SREBF1",1.54689471872385e-64,0.510909497395621,0.348,0.141,2.34803149355093e-60,"3","SREBF1",0.207
"TMEM45B",1.55820576182023e-64,0.600198355981857,0.372,0.181,2.36520052586693e-60,"3","TMEM45B",0.191
"RASSF7",1.71717906380603e-64,0.627618519924917,0.413,0.199,2.60650610095118e-60,"3","RASSF7",0.214
"PLA2G10",5.27024028066763e-63,0.532292442983696,0.261,0.093,7.99969772202539e-59,"3","PLA2G10",0.168
"CDCP1",4.29352810127018e-62,0.545386544455844,0.396,0.202,6.51714630491801e-58,"3","CDCP1",0.194
"SPINT2",1.55621324984117e-61,0.682144113693136,0.615,0.468,2.36217609193391e-57,"3","SPINT2",0.147
"ENTPD6",1.95315009483539e-61,0.605647021462432,0.433,0.222,2.96468652895064e-57,"3","ENTPD6",0.211
"GABRP",2.0692322490936e-59,0.569743023462178,0.347,0.155,3.14088763089917e-55,"3","GABRP",0.192
"MARCKSL1",1.11476219730061e-58,0.524173748404858,0.479,0.251,1.6920975392826e-54,"3","MARCKSL1",0.228
"APP",3.67157307641878e-57,0.568730059427696,0.414,0.22,5.57308077269607e-53,"3","APP",0.194
"STAP2",1.60137846407464e-56,0.625761013666479,0.363,0.181,2.4307323706189e-52,"3","STAP2",0.182
"PLD1",3.29091843981451e-54,0.573370075713303,0.381,0.197,4.99528509979445e-50,"3","PLD1",0.184
"COMTD1",1.16046267592436e-53,0.560613814075612,0.33,0.143,1.76146629578559e-49,"3","COMTD1",0.187
"TMEM176B",1.63003607209421e-53,0.542852372464157,0.374,0.178,2.47423175383181e-49,"3","TMEM176B",0.196
"MYO1E",4.16369217751301e-53,0.65372393644856,0.418,0.231,6.320068356247e-49,"3","MYO1E",0.187
"TUBA1C",7.30039592863885e-53,0.551439381623959,0.691,0.63,1.10812709800809e-48,"3","TUBA1C",0.0609999999999999
"PTPRH",2.42337501174338e-52,0.506397891965313,0.264,0.107,3.67844093032528e-48,"3","PTPRH",0.157
"ANO9",2.59327227828334e-51,0.563566350060405,0.393,0.207,3.93632799120629e-47,"3","ANO9",0.186
"GPR160",2.99994624185546e-50,0.507426944902641,0.289,0.12,4.55361840051241e-46,"3","GPR160",0.169
"NFIB",4.69978823939419e-50,0.544930483981038,0.377,0.204,7.13380856857645e-46,"3","NFIB",0.173
